"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9343","Main paige working","Mobile Chrome","2026-08-11","passed","2026-08-11","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","12193","Login button test","chromium","2026-08-11","failed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6876","Auto dropdown visibility test","chromium","2026-08-11","passed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9907","Weather date test","chromium","2026-08-11","passed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9285","Main paige working","chromium","2026-08-11","passed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31775","Footer links test","chromium","2026-08-11","broken","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31739","Login positive scenario test","chromium","2026-08-11","broken","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31628","Login negative scenario test","chromium","2026-08-11","broken","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7546","Search field negative test","chromium","2026-08-11","passed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10356","Search field positive test","chromium","2026-08-11","passed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","18095","Nav bar test","chromium","2026-08-11","passed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8141","Logo test","chromium","2026-08-11","passed","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31835","Registration link test","chromium","2026-08-11","broken","2026-08-11","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
