"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31710","Login positive scenario test","chromium","2026-08-14","broken","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5076","Search field negative test","chromium","2026-08-14","passed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10108","Search field positive test","chromium","2026-08-14","passed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12337","Login button test","chromium","2026-08-14","failed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9362","Main paige working","Mobile Chrome","2026-08-14","passed","2026-08-14","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","7670","Main paige working","chromium","2026-08-14","passed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31751","Registration link test","chromium","2026-08-14","broken","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7041","Logo test","chromium","2026-08-14","passed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7026","Auto dropdown visibility test","chromium","2026-08-14","passed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15486","Nav bar test","chromium","2026-08-14","passed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","32018","Footer links test","chromium","2026-08-14","broken","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9062","Weather date test","chromium","2026-08-14","passed","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31834","Login negative scenario test","chromium","2026-08-14","broken","2026-08-14","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
