"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10312","Weather date test","chromium","2026-08-15","passed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31793","Login positive scenario test","chromium","2026-08-15","broken","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31705","Registration link test","chromium","2026-08-15","broken","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7945","Main paige working","chromium","2026-08-15","passed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31718","Footer links test","chromium","2026-08-15","broken","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6928","Logo test","chromium","2026-08-15","passed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7403","Main paige working","Mobile Chrome","2026-08-15","passed","2026-08-15","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","11127","Search field positive test","chromium","2026-08-15","passed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5866","Search field negative test","chromium","2026-08-15","passed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31822","Login negative scenario test","chromium","2026-08-15","broken","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12728","Login button test","chromium","2026-08-15","failed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7096","Auto dropdown visibility test","chromium","2026-08-15","passed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","17558","Nav bar test","chromium","2026-08-15","passed","2026-08-15","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
