"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7053","Search field positive test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6264","Main paige working","Mobile Chrome","2026-06-04","passed","2026-06-04","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","7126","Logo test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14516","Nav bar test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6227","Login negative scenario test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14189","Footer links test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4135","Search field negative test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5115","Registration link test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6875","Main paige working","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4339","Auto dropdown visibility test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5810","Login positive scenario test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5284","Login button test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7363","Weather date test","chromium","2026-06-04","passed","2026-06-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
